Episode 0, Reward: -13.12, Steps: 92, Epsilon: 1.000
Episode 1, Reward: -6.81, Steps: 67, Epsilon: 1.000
Episode 2, Reward: -6.11, Steps: 47, Epsilon: 1.000
Episode 3, Reward: -4.28, Steps: 53, Epsilon: 1.000
Episode 4, Reward: -4.86, Steps: 51, Epsilon: 1.000
Episode 5, Reward: -12.38, Steps: 90, Epsilon: 1.000
Episode 6, Reward: -30.98, Steps: 94, Epsilon: 1.000
Episode 7, Reward: -9.39, Steps: 70, Epsilon: 1.000
Episode 8, Reward: -4.44, Steps: 50, Epsilon: 1.000
Episode 9, Reward: -7.47, Steps: 75, Epsilon: 1.000
Episode 10, Reward: -6.92, Steps: 90, Epsilon: 1.000
Episode 11, Reward: -4.03, Steps: 39, Epsilon: 1.000
Episode 12, Reward: -11.58, Steps: 90, Epsilon: 1.000
Episode 13, Reward: -5.08, Steps: 49, Epsilon: 1.000
Episode 14, Reward: -25.61, Steps: 86, Epsilon: 1.000
Episode 15, Reward: -11.94, Steps: 59, Epsilon: 1.000
Episode 16, Reward: -14.19, Steps: 67, Epsilon: 1.000
Episode 17, Reward: -2.00, Steps: 29, Epsilon: 1.000
Episode 18, Reward: -16.78, Steps: 64, Epsilon: 1.000
Episode 19, Reward: -9.01, Steps: 55, Epsilon: 1.000
Episode 20, Reward: -8.22, Steps: 92, Epsilon: 1.000
Episode 21, Reward: -17.47, Steps: 80, Epsilon: 1.000
Episode 22, Reward: -14.98, Steps: 72, Epsilon: 1.000
Episode 23, Reward: -36.80, Steps: 79, Epsilon: 1.000
Episode 24, Reward: -18.13, Steps: 85, Epsilon: 1.000
Episode 25, Reward: -2.67, Steps: 41, Epsilon: 1.000
Episode 26, Reward: -21.00, Steps: 80, Epsilon: 1.000
Episode 27, Reward: -3.73, Steps: 34, Epsilon: 1.000
Episode 28, Reward: -14.58, Steps: 68, Epsilon: 1.000
Episode 29, Reward: -10.44, Steps: 76, Epsilon: 1.000
Episode 30, Reward: -16.96, Steps: 75, Epsilon: 1.000
Episode 31, Reward: -13.37, Steps: 69, Epsilon: 1.000
Episode 32, Reward: -7.78, Steps: 76, Epsilon: 1.000
Episode 33, Reward: -21.15, Steps: 81, Epsilon: 1.000
Episode 34, Reward: -9.73, Steps: 82, Epsilon: 1.000
Episode 35, Reward: -15.10, Steps: 31, Epsilon: 1.000
Episode 36, Reward: -16.36, Steps: 90, Epsilon: 1.000
Episode 37, Reward: -13.32, Steps: 79, Epsilon: 1.000
Episode 38, Reward: -9.14, Steps: 102, Epsilon: 0.999
Episode 39, Reward: -13.25, Steps: 82, Epsilon: 0.999
Episode 40, Reward: -7.78, Steps: 69, Epsilon: 0.999
Episode 41, Reward: -28.16, Steps: 101, Epsilon: 0.999
Episode 42, Reward: -1.72, Steps: 32, Epsilon: 0.999
Episode 43, Reward: -7.11, Steps: 85, Epsilon: 0.999
